ID,source,target
CommonEvent[1].command[0],____TEXT____,
CommonEvent[1].command[1].textData,You light the torch.,
CommonEvent[2].command[9],____TEXT____,
CommonEvent[2].command[10].textData,You turn the flashlight on,
CommonEvent[2].command[14],____TEXT____,
CommonEvent[2].command[15].textData,You turn the flashlight off,
CommonEvent[3].command[0],____TEXT____,
CommonEvent[3].command[1].textData,You feel a twist inside as you take the book from ,
CommonEvent[3].command[2].textData,your satchel...,
CommonEvent[3].command[3],____TEXT____,
CommonEvent[3].command[4].textData,You feel great urge to open the book - but at the same,
CommonEvent[3].command[5].textData,time you feel like consequences might be terrible.,
CommonEvent[3].command[6],___CHOICE___,
CommonEvent[3].command[6].textChoice[0],Read the book,
CommonEvent[3].command[6].textChoice[1],Leave the book,
CommonEvent[3].command[12],____TEXT____,
CommonEvent[3].command[13].textData,It turns out that this book is the very book,
CommonEvent[3].command[14].textData,many legends tell about...,
CommonEvent[3].command[15],____TEXT____,
CommonEvent[3].command[16].textData,"It goes by many names; The rites of madness,",
CommonEvent[3].command[17].textData,"Al Azif, Testament of Gro-goroth, Ex Mortis and...",
CommonEvent[3].command[18],____TEXT____,
CommonEvent[3].command[19].textData,The Necronomicon.,
CommonEvent[3].command[22],___CHOICE___,
CommonEvent[3].command[22].textChoice[0],HEADS,
CommonEvent[3].command[22].textChoice[1],TAILS,
CommonEvent[3].command[29],____TEXT____,
CommonEvent[3].command[30].textData,The book is summoning powers that exceed your ,
CommonEvent[3].command[31].textData,understanding...,
CommonEvent[3].command[32],____TEXT____,
CommonEvent[3].command[33].textData,"Next to this ancient presence, you're nothing",
CommonEvent[3].command[34].textData,but a feeble ant.,
CommonEvent[3].command[40],____TEXT____,
CommonEvent[3].command[41].textData,The book is summoning powers that exceed your ,
CommonEvent[3].command[42].textData,understanding...,
CommonEvent[3].command[43],____TEXT____,
CommonEvent[3].command[44].textData,"Next to this ancient presence, you're nothing",
CommonEvent[3].command[45].textData,but a feeble ant.,
CommonEvent[3].command[46],____TEXT____,
