Ruta,Texto original,Traducción
Map.Event[1].Page[0].list.command[1],____TEXT____,
Map.Event[1].Page[0].list.command[2].textData,Use \c[2]Tinderbox\c[0] to light the bonfire?,
Map.Event[1].Page[0].list.command[3],___CHOICE___,
Map.Event[1].Page[0].list.command[3].textChoice[0],Yes,
Map.Event[1].Page[0].list.command[3].textChoice[1],No,
Map.Event[1].Page[1].list.command[0],____TEXT____,
Map.Event[1].Page[1].list.command[1].textData,The warmth of the bonfire soothes you...,
Map.Event[1].Page[1].list.command[3],____TEXT____,
Map.Event[1].Page[1].list.command[4].textData,Grill the \c[2]Salmonsnake meat\c[0]?,
Map.Event[1].Page[1].list.command[5],___CHOICE___,
Map.Event[1].Page[1].list.command[5].textChoice[0],Yes,
Map.Event[1].Page[1].list.command[5].textChoice[1],No,
Map.Event[1].Page[1].list.command[17],____TEXT____,
Map.Event[1].Page[1].list.command[18].textData,Grill the \c[2]Raw meat\c[0]?,
Map.Event[1].Page[1].list.command[19],___CHOICE___,
Map.Event[1].Page[1].list.command[19].textChoice[0],Yes,
Map.Event[1].Page[1].list.command[19].textChoice[1],No,
Map.Event[42].Page[0].list.command[1],____TEXT____,
Map.Event[42].Page[0].list.command[2].textData,Use \c[2]Tinderbox\c[0] to light the bonfire?,
Map.Event[42].Page[0].list.command[3],___CHOICE___,
Map.Event[42].Page[0].list.command[3].textChoice[0],Yes,
Map.Event[42].Page[0].list.command[3].textChoice[1],No,
Map.Event[42].Page[1].list.command[0],____TEXT____,
Map.Event[42].Page[1].list.command[1].textData,The warmth of the bonfire soothes you...,
Map.Event[42].Page[1].list.command[3],____TEXT____,
Map.Event[42].Page[1].list.command[4].textData,Grill the \c[2]Salmonsnake meat\c[0]?,
Map.Event[42].Page[1].list.command[5],___CHOICE___,
Map.Event[42].Page[1].list.command[5].textChoice[0],Yes,
Map.Event[42].Page[1].list.command[5].textChoice[1],No,
Map.Event[42].Page[1].list.command[17],____TEXT____,
Map.Event[42].Page[1].list.command[18].textData,Grill the \c[2]Raw meat\c[0]?,
Map.Event[42].Page[1].list.command[19],___CHOICE___,
Map.Event[42].Page[1].list.command[19].textChoice[0],Yes,
Map.Event[42].Page[1].list.command[19].textChoice[1],No,
Map.Event[51].Page[0].list.command[1],____TEXT____,
Map.Event[51].Page[0].list.command[2].textData,Use \c[2]Tinderbox\c[0] to light the bonfire?,
Map.Event[51].Page[0].list.command[3],___CHOICE___,
Map.Event[51].Page[0].list.command[3].textChoice[0],Yes,
Map.Event[51].Page[0].list.command[3].textChoice[1],No,
Map.Event[51].Page[1].list.command[0],____TEXT____,
Map.Event[51].Page[1].list.command[1].textData,The warmth of the bonfire soothes you...,
Map.Event[51].Page[1].list.command[3],____TEXT____,
Map.Event[51].Page[1].list.command[4].textData,Grill the \c[2]Salmonsnake meat\c[0]?,
Map.Event[51].Page[1].list.command[5],___CHOICE___,
Map.Event[51].Page[1].list.command[5].textChoice[0],Yes,
Map.Event[51].Page[1].list.command[5].textChoice[1],No,
Map.Event[51].Page[1].list.command[17],____TEXT____,
Map.Event[51].Page[1].list.command[18].textData,Grill the \c[2]Raw meat\c[0]?,
Map.Event[51].Page[1].list.command[19],___CHOICE___,
Map.Event[51].Page[1].list.command[19].textChoice[0],Yes,
Map.Event[51].Page[1].list.command[19].textChoice[1],No,
