ID,source,target
Map007.Event[3].Page[0].list.command[0],____TEXT____,
Map007.Event[3].Page[0].list.command[1].textData,Walls are covered in muckus and all things horrible.,
Map007.Event[3].Page[0].list.command[2],___CHOICE___,
Map007.Event[3].Page[0].list.command[2].textChoice[0],Climb up,
Map007.Event[3].Page[0].list.command[2].textChoice[1],Leave,
Map007.Event[3].Page[0].list.command[4],____TEXT____,
Map007.Event[3].Page[0].list.command[5].textData,It seems to be hopeless. You fail to get a grip,
Map007.Event[3].Page[0].list.command[6].textData,at anything.,
Map007.Event[3].Page[0].list.command[7],____TEXT____,
Map007.Event[3].Page[0].list.command[8].textData,It appears to have been a mistake jumping down here...,
Map007.Event[4].Page[0].list.command[0],____TEXT____,
Map007.Event[4].Page[0].list.command[1].textData,Walls are covered in muckus and all things horrible.,
Map007.Event[4].Page[0].list.command[2],___CHOICE___,
Map007.Event[4].Page[0].list.command[2].textChoice[0],Climb up,
Map007.Event[4].Page[0].list.command[2].textChoice[1],Leave,
Map007.Event[4].Page[0].list.command[4],____TEXT____,
Map007.Event[4].Page[0].list.command[5].textData,It seems to be hopeless. You fail to get a grip,
Map007.Event[4].Page[0].list.command[6].textData,at anything.,
Map007.Event[4].Page[0].list.command[7],____TEXT____,
Map007.Event[4].Page[0].list.command[8].textData,It appears to have been a mistake jumping down here...,
Map007.Event[5].Page[0].list.command[0],____TEXT____,
Map007.Event[5].Page[0].list.command[1].textData,Walls are covered in muckus and all things horrible.,
Map007.Event[5].Page[0].list.command[2],___CHOICE___,
Map007.Event[5].Page[0].list.command[2].textChoice[0],Climb up,
Map007.Event[5].Page[0].list.command[2].textChoice[1],Leave,
Map007.Event[5].Page[0].list.command[4],____TEXT____,
Map007.Event[5].Page[0].list.command[5].textData,It seems to be hopeless. You fail to get a grip,
Map007.Event[5].Page[0].list.command[6].textData,at anything.,
Map007.Event[5].Page[0].list.command[7],____TEXT____,
Map007.Event[5].Page[0].list.command[8].textData,It appears to have been a mistake jumping down here...,
Map007.Event[12].Page[0].list.command[3],____TEXT____,
Map007.Event[12].Page[0].list.command[4].textData,You are unable to move...,
Map007.Event[12].Page[0].list.command[5],___CHOICE___,
Map007.Event[12].Page[0].list.command[5].textChoice[0],Quit breathing,
Map007.Event[12].Page[0].list.command[5].textChoice[1],Hold on!,
Map007.Event[12].Page[1].list.command[3],____TEXT____,
Map007.Event[12].Page[1].list.command[4].textData,You are unable to move...,
Map007.Event[12].Page[1].list.command[5],___CHOICE___,
Map007.Event[12].Page[1].list.command[5].textChoice[0],Quit breathing,
Map007.Event[12].Page[1].list.command[5].textChoice[1],Hold on!,
Map007.Event[12].Page[2].list.command[3],____TEXT____,
Map007.Event[12].Page[2].list.command[4].textData,You are unable to move...,
Map007.Event[12].Page[2].list.command[5],___CHOICE___,
Map007.Event[12].Page[2].list.command[5].textChoice[0],Quit breathing,
Map007.Event[12].Page[2].list.command[5].textChoice[1],Hold on!,
Map007.Event[12].Page[3].list.command[3],____TEXT____,
Map007.Event[12].Page[3].list.command[4].textData,You are unable to move...,
Map007.Event[12].Page[3].list.command[5],___CHOICE___,
Map007.Event[12].Page[3].list.command[5].textChoice[0],Quit breathing,
Map007.Event[12].Page[3].list.command[5].textChoice[1],Hold on!,
Map007.Event[12].Page[4].list.command[3],____TEXT____,
Map007.Event[12].Page[4].list.command[4].textData,You are unable to move...,
Map007.Event[12].Page[4].list.command[5],___CHOICE___,
Map007.Event[12].Page[4].list.command[5].textChoice[0],Quit breathing,
Map007.Event[12].Page[4].list.command[5].textChoice[1],Hold on!,
Map007.Event[12].Page[5].list.command[3],____TEXT____,
Map007.Event[12].Page[5].list.command[4].textData,You are unable to move...,
Map007.Event[12].Page[5].list.command[5],___CHOICE___,
Map007.Event[12].Page[5].list.command[5].textChoice[0],Quit breathing,
Map007.Event[12].Page[5].list.command[5].textChoice[1],Hold on!,
Map007.Event[12].Page[6].list.command[3],____TEXT____,
Map007.Event[12].Page[6].list.command[4].textData,You are unable to move...,
Map007.Event[12].Page[6].list.command[5],___CHOICE___,
Map007.Event[12].Page[6].list.command[5].textChoice[0],Quit breathing,
Map007.Event[12].Page[6].list.command[5].textChoice[1],Hold on!,
Map007.Event[13].Page[1].list.command[0],____TEXT____,
Map007.Event[13].Page[1].list.command[1].textData,The girl is dead now...,
Map007.Event[13].Page[1].list.command[4],____TEXT____,
Map007.Event[13].Page[1].list.command[5].textData,You could use \c[2]Soul stone\c[0] here...,
Map007.Event[13].Page[1].list.command[6],___CHOICE___,
Map007.Event[13].Page[1].list.command[6].textChoice[0],Yes,
Map007.Event[13].Page[1].list.command[6].textChoice[1],No,
Map007.Event[13].Page[1].list.command[9],____TEXT____,
Map007.Event[13].Page[1].list.command[10].textData,The \c[2]Soul stone\c[0] changed it's appearance.,
Map007.Event[13].Page[1].list.command[11].textData,The stone is radiating faint blue light.,
Map007.Event[13].Page[1].list.command[12],____TEXT____,
Map007.Event[13].Page[1].list.command[13].textData,The stone has a heavy aura to it. It's almost too much,
Map007.Event[13].Page[1].list.command[14].textData,for you to carry...,
Map007.Event[14].Page[1].list.command[0],____TEXT____,
Map007.Event[14].Page[1].list.command[1].textData,Here lies \N[16]...,
Map007.Event[14].Page[1].list.command[3],____TEXT____,
Map007.Event[14].Page[1].list.command[4].textData,You could use \c[2]Soul stone\c[0] here...,
Map007.Event[14].Page[1].list.command[5],___CHOICE___,
Map007.Event[14].Page[1].list.command[5].textChoice[0],Yes,
Map007.Event[14].Page[1].list.command[5].textChoice[1],No,
Map007.Event[14].Page[1].list.command[7],____TEXT____,
Map007.Event[14].Page[1].list.command[8].textData,.\|.\|.\|.,
Map007.Event[14].Page[1].list.command[9],____TEXT____,
Map007.Event[14].Page[1].list.command[10].textData,The \c[2]Soul stone\c[0] doesn't seem to react to his ,
Map007.Event[14].Page[1].list.command[11].textData,remains...,
Map007.Event[15].Page[1].list.command[0],____TEXT____,
Map007.Event[15].Page[1].list.command[1].textData,Here lies \N[17]...,
Map007.Event[15].Page[1].list.command[3],____TEXT____,
Map007.Event[15].Page[1].list.command[4].textData,You could use \c[2]Soul stone\c[0] here...,
Map007.Event[15].Page[1].list.command[5],___CHOICE___,
Map007.Event[15].Page[1].list.command[5].textChoice[0],Yes,
Map007.Event[15].Page[1].list.command[5].textChoice[1],No,
Map007.Event[15].Page[1].list.command[7],____TEXT____,
Map007.Event[15].Page[1].list.command[8].textData,.\|.\|.\|.,
Map007.Event[15].Page[1].list.command[9],____TEXT____,
Map007.Event[15].Page[1].list.command[10].textData,The \c[2]Soul stone\c[0] doesn't seem to react to his ,
Map007.Event[15].Page[1].list.command[11].textData,remains...,
Map007.Event[16].Page[1].list.command[0],____TEXT____,
Map007.Event[16].Page[1].list.command[1].textData,Here lies \N[18]...,
Map007.Event[16].Page[1].list.command[3],____TEXT____,
Map007.Event[16].Page[1].list.command[4].textData,You could use \c[2]Soul stone\c[0] here...,
Map007.Event[16].Page[1].list.command[5],___CHOICE___,
Map007.Event[16].Page[1].list.command[5].textChoice[0],Yes,
Map007.Event[16].Page[1].list.command[5].textChoice[1],No,
Map007.Event[16].Page[1].list.command[7],____TEXT____,
Map007.Event[16].Page[1].list.command[8].textData,.\|.\|.\|.,
Map007.Event[16].Page[1].list.command[9],____TEXT____,
Map007.Event[16].Page[1].list.command[10].textData,The \c[2]Soul stone\c[0] doesn't seem to react to his ,
Map007.Event[16].Page[1].list.command[11].textData,remains...,
Map007.Event[17].Page[1].list.command[0],____TEXT____,
Map007.Event[17].Page[1].list.command[1].textData,Moonless is dead now...,
Map007.Event[17].Page[1].list.command[4],____TEXT____,
Map007.Event[17].Page[1].list.command[5].textData,You could use \c[2]Soul stone\c[0] here...,
Map007.Event[17].Page[1].list.command[6],___CHOICE___,
Map007.Event[17].Page[1].list.command[6].textChoice[0],Yes,
Map007.Event[17].Page[1].list.command[6].textChoice[1],No,
Map007.Event[17].Page[1].list.command[9],____TEXT____,
Map007.Event[17].Page[1].list.command[10].textData,The \c[2]Soul stone\c[0] changed it's appearance.,
Map007.Event[17].Page[1].list.command[11].textData,The stone is radiating faint blue light.,
