ID,source,target
Skill[1].name,Attack,
Skill[1].description,,
Skill[1].note,"<Target Action>
perform action
action animation
action effect
wait for animation
motion wait: user
death break
</Target Action>",
Skill[1].message1, attacks!,
Skill[1].message2,,
Skill[2].name,Guard,
Skill[2].description,,
Skill[2].note,"Skill #2 will be used when you select
the Guard command.",
Skill[2].message1, guards.,
Skill[2].message2,,
Skill[3].name,Hack,
Skill[3].description,,
Skill[3].note,,
Skill[3].message1, hacks with a buthcer knife!,
Skill[3].message2,,
Skill[4].name,Stinger thrust,
Skill[4].description,,
Skill[4].note,,
Skill[4].message1,,
Skill[4].message2,,
Skill[5].name,The stinger is pulsating...,
Skill[5].description,,
Skill[5].note,,
Skill[5].message1,,
Skill[5].message2,,
Skill[6].name,Tackle,
Skill[6].description,,
Skill[6].note,,
Skill[6].message1,,
Skill[6].message2,,
Skill[7].name,The monster takes a step closer...,
Skill[7].description,,
Skill[7].note,,
Skill[7].message1,,
Skill[7].message2,,
Skill[8].name,Fast attack,
Skill[8].description,"With swift movements - you gain an additional
turn.",
Skill[8].note,,
Skill[8].message1,,
Skill[8].message2,,
Skill[9].name,Sense,
Skill[9].description,"Higher senses make it possible to feel aura of
other living beings.",
Skill[9].note,,
Skill[9].message1,,
Skill[9].message2,,
Skill[10].name,Pinecone pig,
Skill[10].description,"Animated figure of a pinecone pig. A loyal companion
until it's very end.",
Skill[10].note,,
Skill[10].message1,,
Skill[10].message2,,
Skill[11].name,Talk,
Skill[11].description,"Talking can sometimes get you out of uncomformtable
situations.",
Skill[11].note,"<Target Action>
motion swing: user
</Target Action>",
Skill[11].message1,,
Skill[11].message2,,
Skill[12].name,Hurting,
Skill[12].description,"Concentrated feelings of hurting create a
devastating vortex.",
Skill[12].note,,
Skill[12].message1,,
Skill[12].message2,,
Skill[13].name,Scratch,
Skill[13].description,,
Skill[13].note,,
Skill[13].message1,,
Skill[13].message2,,
Skill[14].name,The creature seems strained and stressed...,
Skill[14].description,,
Skill[14].note,,
Skill[14].message1,,
Skill[14].message2,,
Skill[15].name,Priest waves his lantern...,
Skill[15].description,,
Skill[15].note,,
Skill[15].message1,,
Skill[15].message2,,
Skill[16].name,Tackle,
Skill[16].description,,
Skill[16].note,ghoul tackle,
Skill[16].message1,,
Skill[16].message2,,
Skill[17].name,Prisoners's head is twitching...,
Skill[17].description,,
Skill[17].note,,
Skill[17].message1,,
Skill[17].message2,,
Skill[18].name,Lantern,
Skill[18].description,Small fire attack with lantern.,
Skill[18].note,,
Skill[18].message1,,
Skill[18].message2,,
Skill[19].name,Priest chants something...,
Skill[19].description,,
Skill[19].note,,
Skill[19].message1,,
Skill[19].message2,,
Skill[20].name,Priest chants something...,
Skill[20].description,,
Skill[20].note,,
Skill[20].message1,,
Skill[20].message2,,
Skill[21].name,Necromancy,
Skill[21].description,Try to bring back life to where it once lingered...,
Skill[21].note,,
Skill[21].message1,,
Skill[21].message2,,
Skill[22].name,Beheaded wizard laughs at you,
Skill[22].description,,
Skill[22].note,,
Skill[22].message1,,
Skill[22].message2,,
Skill[23].name,Hack,
Skill[23].description,,
Skill[23].note,,
Skill[23].message1, hacks with a buthcer knife!,
Skill[23].message2,,
Skill[24].name,Tail whip,
Skill[24].description,,
Skill[24].note,,
Skill[24].message1,,
Skill[24].message2,,
Skill[25].name,Shield,
Skill[25].description,,
Skill[25].note,,
Skill[25].message1,,
Skill[25].message2,,
Skill[26].name,Gnaw,
Skill[26].description,,
Skill[26].note,,
Skill[26].message1,,
Skill[26].message2,,
Skill[27].name,One tooth bite,
Skill[27].description,,
Skill[27].note,,
Skill[27].message1,,
Skill[27].message2,,
Skill[28].name,One tooth bite,
Skill[28].description,,
Skill[28].note,,
Skill[28].message1,,
Skill[28].message2,,
Skill[29].name,One tooth bite,
Skill[29].description,,
Skill[29].note,,
Skill[29].message1,,
Skill[29].message2,,
Skill[30].name,Cavemother is tilting it's head...,
Skill[30].description,,
Skill[30].note,,
Skill[30].message1,,
Skill[30].message2,,
Skill[31].name,Steal,
Skill[31].description,Steal from the rich and give to yourself.,
Skill[31].note,,
Skill[31].message1,,
Skill[31].message2,,
Skill[32].name,Explosion,
Skill[32].description,Small fire attack with lantern.,
Skill[32].note,,
Skill[32].message1,,
Skill[32].message2,,
Skill[33].name,Poison tongue,
Skill[33].description,,
Skill[33].note,,
Skill[33].message1,,
Skill[33].message2,,
Skill[34].name,Suicide,
Skill[34].description,"There are worse fates than death. Sometimes it's
good to go on your own terms...",
Skill[34].note,,
Skill[34].message1,,
Skill[34].message2,,
Skill[35].name,Crude sword,
Skill[35].description,,
Skill[35].note,,
Skill[35].message1, hacks with a buthcer knife!,
Skill[35].message2,,
Skill[36].name,Low sweep,
Skill[36].description,,
Skill[36].note,,
Skill[36].message1, hacks with a buthcer knife!,
Skill[36].message2,,
Skill[37].name,Lizardman is licking it's lips...,
Skill[37].description,,
Skill[37].note,,
Skill[37].message1,,
Skill[37].message2,,
Skill[38].name,Lizardman is showing off his martial arts.,
Skill[38].description,,
Skill[38].note,,
Skill[38].message1,,
Skill[38].message2,,
Skill[39].name,The monster lowers it's stance...,
Skill[39].description,,
Skill[39].note,<Bypass Taunt>,
Skill[39].message1,,
Skill[39].message2,,
Skill[40].name,Run,
Skill[40].description,"There is no shame in running away from battles to live
another day.",
Skill[40].note,,
Skill[40].message1,,
Skill[40].message2,,
Skill[41].name,Critical slash,
Skill[41].description,,
Skill[41].note,,
Skill[41].message1,,
Skill[41].message2,,
Skill[42].name,Yellow mage begins it's ritual dance...,
Skill[42].description,,
Skill[42].note,,
Skill[42].message1,,
Skill[42].message2,,
Skill[43].name,Hurting,
Skill[43].description,"Concentrated feelings of hurting create a
devastating vortex.",
Skill[43].note,yellow mage attack - arms,
Skill[43].message1,,
Skill[43].message2,,
Skill[44].name,Hurting,
Skill[44].description,"Concentrated feelings of hurting create a
devastating vortex.",
Skill[44].note,yellow mage attack - legs,
Skill[44].message1,,
Skill[44].message2,,
Skill[45].name,Horizontal sweep,
Skill[45].description,,
Skill[45].note,,
Skill[45].message1,,
Skill[45].message2,,
Skill[46].name,Vertical sweep,
Skill[46].description,,
Skill[46].note,,
Skill[46].message1,,
Skill[46].message2,,
Skill[47].name,Vertical sweep,
Skill[47].description,,
Skill[47].note,,
Skill[47].message1,,
Skill[47].message2,,
Skill[48].name,Locust swarm,
Skill[48].description,Summon a swarm of crickets to disrupt the enemy.,
Skill[48].note,,
Skill[48].message1,,
Skill[48].message2,,
Skill[49].name,Locust swarm,
Skill[49].description,Summon a swarm of crickets to disrupt the enemy.,
Skill[49].note,,
Skill[49].message1,,
Skill[49].message2,,
Skill[50].name,Guard break,
Skill[50].description,Break through the defence of the opponent.,
Skill[50].note,,
Skill[50].message1,,
Skill[50].message2,,
Skill[51].name,Blood golem,
Skill[51].description,"Sacrifice your own blood to summon a golem to fight by
your side temporarily.",
Skill[51].note,,
Skill[51].message1,,
Skill[51].message2,,
Skill[52].name,Shivering touch,
Skill[52].description,,
Skill[52].note,,
Skill[52].message1,,
Skill[52].message2,,
Skill[53].name,Mumbler's head explodes on you!,
Skill[53].description,,
Skill[53].note,,
Skill[53].message1,,
Skill[53].message2,,
Skill[54].name,Demon seed,
Skill[54].description,"Insert your seed into a fresh corpse, the most fertile 
of growing grounds.",
Skill[54].note,,
Skill[54].message1,,
Skill[54].message2,,
Skill[55].name,Pheromones,
Skill[55].description,"Release of pheromones that makes the opponent divert all
attention to the target.",
Skill[55].note,,
Skill[55].message1,,
Skill[55].message2,,
Skill[56].name,Mastery over insects,
Skill[56].description,"Understanding of insects. You can hear and talk with insects
of all sizes.",
Skill[56].note,,
Skill[56].message1,,
Skill[56].message2,,
Skill[57].name,Rock smash,
Skill[57].description,,
Skill[57].note,,
Skill[57].message1,,
Skill[57].message2,,
Skill[58].name,The guard loads an arrow to ballista...,
Skill[58].description,,
Skill[58].note,,
Skill[58].message1,,
Skill[58].message2,,
Skill[59].name,Ballista,
Skill[59].description,,
Skill[59].note,,
Skill[59].message1,,
Skill[59].message2,,
Skill[60].name,Smash,
Skill[60].description,,
Skill[60].note,,
Skill[60].message1,,
Skill[60].message2,,
Skill[61].name,Salmonsnake is tensing up...,
Skill[61].description,,
Skill[61].note,,
Skill[61].message1,,
Skill[61].message2,,
Skill[62].name,Snatch,
Skill[62].description,,
Skill[62].note,<Bypass Taunt>,
Skill[62].message1,,
Skill[62].message2,,
Skill[63].name,Headbutt,
Skill[63].description,,
Skill[63].note,,
Skill[63].message1,,
Skill[63].message2,,
Skill[64].name,Salmonsnake is uncertain of your position...,
Skill[64].description,,
Skill[64].note,,
Skill[64].message1,,
Skill[64].message2,,
Skill[65].name,---,
Skill[65].description,,
Skill[65].note,,
Skill[65].message1,,
Skill[65].message2,,
Skill[66].name,Fast attack,
Skill[66].description,"With swift movements - you gain an additional
turn.",
Skill[66].note,,
Skill[66].message1,,
Skill[66].message2,,
Skill[67].name,Counter,
Skill[67].description,"Stay alert for enemy attacks to parry them the instant
they land.",
Skill[67].note,,
Skill[67].message1,,
Skill[67].message2,,
Skill[68].name,Defence stance,
Skill[68].description,"A special combat stance to prevent severe physical trauma. 
A skill taught to all the squires at the Rondon military.",
Skill[68].note,,
Skill[68].message1,,
Skill[68].message2,,
Skill[69].name,---,
Skill[69].description,,
Skill[69].note,,
Skill[69].message1,,
Skill[69].message2,,
Skill[70].name,Steal,
Skill[70].description,Steal from the rich and give to yourself.,
Skill[70].note,,
Skill[70].message1,,
Skill[70].message2,,
Skill[71].name,Dash,
Skill[71].description,"Your movement speed increases greatly. Running can prove
out to be a really valuable skill.",
Skill[71].note,,
Skill[71].message1,,
Skill[71].message2,,
Skill[72].name,Lockpicking,
Skill[72].description,"An ability to open any simple lock with your trusty 
lockpick.",
Skill[72].note,,
Skill[72].message1,,
Skill[72].message2,,
Skill[73].name,---,
Skill[73].description,,
Skill[73].note,,
Skill[73].message1,,
Skill[73].message2,,
Skill[74].name,Greater blood magic,
Skill[74].description,"Years spent studying blood magic has given you an ability
to use magic more efficiently.",
Skill[74].note,,
Skill[74].message1,,
Skill[74].message2,,
Skill[75].name,Blood sacrifice,
Skill[75].description,Sacrifice blood for gods.,
Skill[75].note,,
Skill[75].message1,,
Skill[75].message2,,
Skill[76].name,Pray,
Skill[76].description,"Since your affection to gods is higher than average human
being, you can try to reach out to them in need.",
Skill[76].note,,
Skill[76].message1,,
Skill[76].message2,,
Skill[77].name,---,
Skill[77].description,,
Skill[77].note,,
Skill[77].message1,,
Skill[77].message2,,
Skill[78].name,Devour,
Skill[78].description,"A barbaric trait of devouring the carcass of your
enemies to ease hunger.",
Skill[78].note,,
Skill[78].message1,,
Skill[78].message2,,
Skill[79].name,Marksmanship,
Skill[79].description,"High level archery skill. Use your accurate shots to
finish off opponents from distance.",
Skill[79].note,,
Skill[79].message1,,
Skill[79].message2,,
Skill[80].name,Bloodlust,
Skill[80].description,"Hype yourself into a state of aggression and trance. An old
traditional Oldegård folk skill.",
Skill[80].note,,
Skill[80].message1,,
Skill[80].message2,,
Skill[81].name,---,
Skill[81].description,,
Skill[81].note,,
Skill[81].message1,,
Skill[81].message2,,
Skill[82].name,Salmonsnake is uncertain of your position...,
Skill[82].description,,
Skill[82].note,,
Skill[82].message1,,
Skill[82].message2,,
Skill[83].name,Soul binding,
Skill[83].description,,
Skill[83].note,,
Skill[83].message1,,
Skill[83].message2,,
Skill[84].name,Mumblers head is pulsating...,
Skill[84].description,,
Skill[84].note,,
Skill[84].message1,,
Skill[84].message2,,
Skill[85].name,Peck,
Skill[85].description,,
Skill[85].note,,
Skill[85].message1,,
Skill[85].message2,,
Skill[86].name,Tackle,
Skill[86].description,,
Skill[86].note,,
Skill[86].message1,,
Skill[86].message2,,
Skill[87].name,Talk,
Skill[87].description,"Talking can sometimes get you out of uncomformtable
situations.",
Skill[87].note,,
Skill[87].message1,,
Skill[87].message2,,
Skill[88].name,Bite,
Skill[88].description,A vicious bite that leaves the opponent bleeding.,
Skill[88].note,,
Skill[88].message1,,
Skill[88].message2,,
Skill[89].name,Howl,
Skill[89].description,A melancholy moonless howl.,
Skill[89].note,,
Skill[89].message1,,
Skill[89].message2,,
Skill[90].name,Bite,
Skill[90].description,A vicious bite that leaves the opponent bleeding.,
Skill[90].note,,
Skill[90].message1,,
Skill[90].message2,,
Skill[91].name,Jagged jaw,
Skill[91].description,"A stronger and more vicious bite that leaves the 
opponent bleeding.",
Skill[91].note,,
Skill[91].message1,,
Skill[91].message2,,
Skill[92].name,Grim jaw,
Skill[92].description,A terrifying bite that leaves the opponent helpless.,
Skill[92].note,,
Skill[92].message1,,
Skill[92].message2,,
Skill[93].name,Maul,
Skill[93].description,,
Skill[93].note,,
Skill[93].message1,,
Skill[93].message2,,
Skill[94].name,Crow Mauler is staring you with it's empty eyes...,
Skill[94].description,,
Skill[94].note,,
Skill[94].message1,,
Skill[94].message2,,
Skill[95].name,Harvestman gently pets you.,
Skill[95].description,,
Skill[95].note,,
Skill[95].message1,,
Skill[95].message2,,
Skill[96].name,Harvestman whistles...,
Skill[96].description,,
Skill[96].note,,
Skill[96].message1,,
Skill[96].message2,,
Skill[97].name,Harvestman whistles...,
Skill[97].description,,
Skill[97].note,,
Skill[97].message1,,
Skill[97].message2,,
Skill[98].name,Harvestman smiles at you.,
Skill[98].description,,
Skill[98].note,,
Skill[98].message1,,
Skill[98].message2,,
Skill[99].name,Harvestman wraps you gently with his arms.,
Skill[99].description,,
Skill[99].note,<Bypass Taunt>,
Skill[99].message1,,
Skill[99].message2,,
Skill[100].name,Attack,
Skill[100].description,,
Skill[100].note,,
Skill[100].message1, attacks!,
Skill[100].message2,,
Skill[101].name,--Greater magic---,
Skill[101].description,,
Skill[101].note,,
Skill[101].message1,,
Skill[101].message2,,
Skill[102].name,Greater Hurting,
Skill[102].description,"Concentrated feelings of hurting create a
devastating vortex.",
Skill[102].note,,
Skill[102].message1,,
Skill[102].message2,,
Skill[103].name,Greater Blood golem,
Skill[103].description,"Sacrifice your own blood to summon a golem to fight by
your side temporarily.",
Skill[103].note,,
Skill[103].message1,,
Skill[103].message2,,
Skill[104].name,Greater Necromancy,
Skill[104].description,Try to bring back life to where it once lingered...,
Skill[104].note,,
Skill[104].message1,,
Skill[104].message2,,
Skill[105].name,,
Skill[105].description,,
Skill[105].note,,
Skill[105].message1,,
Skill[105].message2,,
Skill[106].name,,
Skill[106].description,,
Skill[106].note,,
Skill[106].message1,,
Skill[106].message2,,
Skill[107].name,,
Skill[107].description,,
Skill[107].note,,
Skill[107].message1,,
Skill[107].message2,,
Skill[108].name,,
Skill[108].description,,
Skill[108].note,,
Skill[108].message1,,
Skill[108].message2,,
Skill[109].name,The spectre tilts it's sword sideways...,
Skill[109].description,,
Skill[109].note,,
Skill[109].message1,,
Skill[109].message2,,
Skill[110].name,Lantern smash,
Skill[110].description,,
Skill[110].note,,
Skill[110].message1, hacks with a buthcer knife!,
Skill[110].message2,,
Skill[111].name,Skeleton kick,
Skill[111].description,,
Skill[111].note,,
Skill[111].message1, attacks!,
Skill[111].message2,,
Skill[112].name,Skeleton hatchet,
Skill[112].description,,
Skill[112].note,,
Skill[112].message1, hacks with a buthcer knife!,
Skill[112].message2,,
Skill[113].name,Whip,
Skill[113].description,,
Skill[113].note,,
Skill[113].message1, hacks with a buthcer knife!,
Skill[113].message2,,
Skill[114].name,Manebas tentacle is swinging around.,
Skill[114].description,,
Skill[114].note,,
Skill[114].message1,,
Skill[114].message2,,
Skill[115].name,Counter-magic,
Skill[115].description,"Undo the effects of any lesser magic by your superior
knowledge in the greater scheme of things.",
Skill[115].note,,
Skill[115].message1,,
Skill[115].message2,,
Skill[116].name,Nasty bite,
Skill[116].description,,
Skill[116].note,,
Skill[116].message1,,
Skill[116].message2,,
Skill[117].name,Nasty bite,
Skill[117].description,,
Skill[117].note,,
Skill[117].message1,,
Skill[117].message2,,
Skill[118].name,The ghoul stares at you with it's dead fish eyes...,
Skill[118].description,,
Skill[118].note,,
Skill[118].message1,,
Skill[118].message2,,
Skill[119].name,Cinder,
Skill[119].description,,
Skill[119].note,,
Skill[119].message1,,
Skill[119].message2,,
Skill[120].name,,
Skill[120].description,,
Skill[120].note,,
Skill[120].message1,,
Skill[120].message2,,
Skill[121].name,Attack,
Skill[121].description,,
Skill[121].note,"<Target Action>
perform action
action animation
action effect
wait for animation
motion wait: user
death break
</Target Action>",
Skill[121].message1, attacks!,
Skill[121].message2,,
Skill[122].name,Needle worm,
Skill[122].description,"Harness the strength of a hundred leeches. The price is
that you have to carry them inside you as parasites...",
Skill[122].note,,
Skill[122].message1,,
Skill[122].message2,,
Skill[123].name,Needle worm,
Skill[123].description,"Harness the strength of a hundred leeches. The price is
that you have to carry them inside you as parasites...",
Skill[123].note,Enemy,
Skill[123].message1,,
Skill[123].message2,,
Skill[124].name,Necromancy,
Skill[124].description,,
Skill[124].note,,
Skill[124].message1,,
Skill[124].message2,,
Skill[125].name,The yellow mage forms magical hand signs...,
Skill[125].description,,
Skill[125].note,,
Skill[125].message1,,
Skill[125].message2,,
Skill[126].name,Attack,
Skill[126].description,,
Skill[126].note,,
Skill[126].message1, attacks!,
Skill[126].message2,,
