Ruta,Texto original,Traducción
command[0].textComment,TALK,
command[1],____TEXT____,
command[2].textData,You try talking some sense to this monstrosity...,
command[3],___CHOICE___,
command[3].textChoice[0],"""What is your origin?""",
command[3].textChoice[1],"""Wait. We don't have to fight!""",
command[3].textChoice[2],"""Please don't!""",
command[3].textChoice[3],"""Prepare to die.""",
command[5],____TEXT____,
command[6].textData,\c[7]Prison guard\c[0],
command[7].textData,"""Raraggghh... rra-rape...""",
command[8],____TEXT____,
command[9].textData,You are not sure if he can understand you or not...,
command[12],____TEXT____,
command[13].textData,"Without saying anything, the creature prepares for",
command[14].textData,an attack...,
command[17],____TEXT____,
command[18].textData,\c[7]Prison guard\c[0],
command[19].textData,"""Grgl grgl.""",
command[20],____TEXT____,
command[21].textData,There appears something resembling a smile on his,
command[22].textData,face.,
command[25],____TEXT____,
command[26].textData,You feel more courageous for saying that.,
command[0].textComment,INFECTIONS,
command[111],____TEXT____,
command[112].textData,The \c[2]Old guardian soul\c[0] breaks after giving its life,
command[113].textData,to \N[1].,
command[124],____TEXT____,
command[125].textData,The \c[2]Old guardian soul\c[0] breaks after giving its life,
command[126].textData,to \N[2].,
command[137],____TEXT____,
command[138].textData,The \c[2]Old guardian soul\c[0] breaks after giving its life,
command[139].textData,to \N[3].,
command[150],____TEXT____,
command[151].textData,The \c[2]Old guardian soul\c[0] breaks after giving its life,
command[152].textData,to \N[4].,
command[163],____TEXT____,
command[164].textData,The \c[2]Old guardian soul\c[0] breaks after giving its life,
command[165].textData,to \N[5].,
command[176],____TEXT____,
command[177].textData,The \c[2]Old guardian soul\c[0] breaks after giving its life,
command[178].textData,to \N[6].,
command[189],____TEXT____,
command[190].textData,The \c[2]Old guardian soul\c[0] breaks after giving its life,
command[191].textData,to \N[8].,
command[202],____TEXT____,
command[203].textData,The \c[2]Old guardian soul\c[0] breaks after giving its life,
command[204].textData,to \N[9].,
command[215],____TEXT____,
command[216].textData,The \c[2]Old guardian soul\c[0] breaks after giving its life,
command[217].textData,to \N[11].,
command[228],____TEXT____,
command[229].textData,The \c[2]Old guardian soul\c[0] breaks after giving its life,
command[230].textData,to \N[19].,
command[241],____TEXT____,
command[242].textData,The \c[2]Old guardian soul\c[0] breaks after giving its life,
command[243].textData,to \N[20].,
command[254],____TEXT____,
