Ruta,Texto original,Traducción
Enemy[1].name,Страж [торс],
Enemy[2].name,Страж [голова],
Enemy[3].name,Страж [правая рука],
Enemy[4].name,Страж [левая рука],
Enemy[5].name,Страж [правая нога],
Enemy[6].name,Страж [левая нога],
Enemy[7].name,Страж [отросток],
Enemy[8].name,Заключенный [торс],
Enemy[9].name,Заключенный [голова],
Enemy[10].name,Заключенный [правая рука],
Enemy[11].name,Заключенный [левая рука],
Enemy[12].name,Заключенный [правая нога],
Enemy[13].name,Заключенный [левая нога],
Enemy[14].name,Бабочка [торс],
Enemy[15].name,Бабочка [голова],
Enemy[16].name,Бабочка [правая рука],
Enemy[17].name,Бабочка [правая нога],
Enemy[18].name,Бабочка [левая нога],
Enemy[19].name,Жрец [торс],
Enemy[20].name,Жрец [голова],
Enemy[21].name,Жрец [правая рука],
Enemy[22].name,Жрец [левая рука],
Enemy[23].name,Гидра [тело],
Enemy[24].name,Гидра [голова 1],
Enemy[25].name,Гидра [голова 2],
Enemy[26].name,Гидра [голова 3],
Enemy[27].name,Гидра [голова 4],
Enemy[28].name,Гидра [голова 5],
Enemy[29].name,Гидра [голова 6],
Enemy[30].name,Гидра [голова 7],
Enemy[31].name,Гидра [голова 8],
Enemy[32].name,Обезглавленный колдун,
Enemy[33].name,Тьма,
Enemy[34].name,Тьма,
Enemy[35].name,Тьма,
Enemy[36].name,Тьма,
Enemy[37].name,Тьма,
Enemy[38].name,Заключенный [торс],
Enemy[39].name,Заключенный [голова],
Enemy[40].name,Заключенный [правая рука],
Enemy[41].name,Заключенный [левая рука],
Enemy[42].name,Пещерный карлик [верхний],
Enemy[43].name,Пещерный карлик [нижний],
Enemy[44].name,Ящеролюд [торс],
Enemy[45].name,Ящеролюд [голова],
Enemy[46].name,Ящеролюд [правая рука],
Enemy[47].name,Ящеролюд [левая рука],
Enemy[48].name,Ящеролюд [правая нога],
Enemy[49].name,Ящеролюд [левая нога],
Enemy[50].name,Ящеролюд [хвост],
Enemy[51].name,Тротюр [торс],
Enemy[52].name,Тротюр [голова],
Enemy[53].name,Тротюр [правая рука],
Enemy[54].name,Тротюр [левая рука],
Enemy[55].name,Тротюр [правая нога],
Enemy[56].name,Тротюр [левая нога],
Enemy[57].name,Пещерный карлик,
Enemy[58].name,Пещерная мать [торс],
Enemy[59].name,Пещерная мать [правое крыло],
Enemy[60].name,Пещерная мать [левое крыло],
Enemy[61].name,Пещерная мать [правая нога],
Enemy[62].name,Пещерная мать [левая нога],
Enemy[63].name,Пещерная мать [грудь],
Enemy[64].name,Пещерный карлик,
Enemy[65].name,Пещерная мать [торс],
Enemy[66].name,Пещерная мать [голова],
Enemy[67].name,Пещерная мать [левая нога],
Enemy[68].name,Пещерная мать [правая нога],
Enemy[69].name,Древний рыцарь,
Enemy[70].name,Призрак рыцаря,
Enemy[71].name,Старый рыцарь [шлем],
Enemy[72].name,Старый рыцарь [броня],
Enemy[73].name,Старый рыцарь [набедренная повязка],
Enemy[74].name,Старый рыцарь [левая рука],
Enemy[75].name,Старый рыцарь [правая рука],
Enemy[76].name,Старый рыцарь [левая нога],
Enemy[77].name,Старый рыцарь [правая нога],
Enemy[78].name,Безлунница [торс],
Enemy[79].name,Безлунница [голова],
Enemy[80].name,Безлунница [лапа 1],
Enemy[81].name,Безлунница [лапа 2],
Enemy[82].name,Безлунница [лапа 3],
Enemy[83].name,Безлунница [лапа 4],
Enemy[84].name,Желтый маг [торс],
Enemy[85].name,Желтый маг [голова],
Enemy[86].name,Желтый маг [левая рука],
Enemy[87].name,Желтый маг [правая рука],
Enemy[88].name,Желтый маг [левая нога],
Enemy[89].name,Желтый маг [правая нога],
Enemy[90].name,Крадущийся [торс],
Enemy[91].name,Крадущийся [голова],
Enemy[92].name,Крадущийся [левая рука],
Enemy[93].name,Крадущийся [правая рука],
Enemy[94].name,Крадущийся [левая нога],
Enemy[95].name,Крадущийся [правая нога],
Enemy[96].name,Крадущийся [рог],
Enemy[97].name,Губошлеп [торс],
Enemy[98].name,Губошлеп [голова],
Enemy[99].name,Губошлеп [левая рука],
Enemy[100].name,Губошлеп [правая рука],
Enemy[101].name,Губошлеп [левая нога],
Enemy[102].name,Губошлеп [правая нога],
Enemy[103].name,пещерный житель [торс],
Enemy[104].name,пещерный житель [голова],
Enemy[105].name,пещерный житель [левая рука],
Enemy[106].name,пещерный житель [правая рука],
Enemy[107].name,пещерный житель [левая нога],
Enemy[108].name,пещерный житель [правая нога],
Enemy[109].name,пещерный житель [пенис],
Enemy[110].name,пещерный житель [торс],
Enemy[111].name,пещерный житель [грудь],
Enemy[112].name,Страж [торс],
Enemy[113].name,Страж [голова],
Enemy[114].name,Страж [баллиста],
Enemy[115].name,Страж [правая нога],
Enemy[116].name,Страж [левая нога],
Enemy[117].name,Страж [отросток],
Enemy[118].name,,
Enemy[119].name,Морской дракон [торс],
Enemy[120].name,Морской дракон [голова],
Enemy[121].name,Морской дракон [левая рука],
Enemy[122].name,Морской дракон [правая рука],
Enemy[123].name,Морской дракон [язык],
Enemy[124].name,Морской дракон [язык],
Enemy[125].name,Морской дракон [язык],
Enemy[126].name,Морской дракон [глаз],
Enemy[127].name,Ворон-Истязатель [торс],
Enemy[128].name,Ворон-Истязатель [голова],
Enemy[129].name,Ворон-Истязатель [правая рука],
Enemy[130].name,Ворон-Истязатель [левая рука],
Enemy[131].name,Ворон-Истязатель [правая нога],
Enemy[132].name,Ворон-Истязатель [левая нога],
Enemy[133].name,пещерный житель [голова],
Enemy[134].name,Измученный,
Enemy[135].name,Жнец [торс],
Enemy[136].name,Жнец [голова],
Enemy[137].name,Жнец [левая рука],
Enemy[138].name,Жнец [правая рука],
Enemy[139].name,Жнец [левая нога],
Enemy[140].name,Жнец [средняя нога],
Enemy[141].name,Жнец [правая нога],
Enemy[142].name,Жнец [мошенка],
Enemy[143].name,Призрак убийцы,
Enemy[144].name,,
Enemy[145].name,Железный Шекспир [торс],
Enemy[146].name,Железный Шекспир [голова],
Enemy[147].name,Железный Шекспир [правая рука],
Enemy[148].name,Железный Шекспир [правая рука],
Enemy[149].name,Железный Шекспир [левая рука],
Enemy[150].name,Железный Шекспир [левая рука],
Enemy[151].name,Железный Шекспир [левая нога],
Enemy[152].name,Железный Шекспир [правая нога],
Enemy[153].name,Скелет [торс],
Enemy[154].name,Скелет [голова],
Enemy[155].name,Скелет [правая рука],
Enemy[156].name,Скелет [правая нога],
Enemy[157].name,Манеба [голова],
Enemy[158].name,Манеба [щупальце 1],
Enemy[159].name,Манеба [щупальце 2],
Enemy[160].name,Манеба [щупальце 3],
Enemy[161].name,Манеба [щупальце 4],
Enemy[162].name,Манеба [щупальце 5],
Enemy[163].name,Манеба [щупальце 6],
Enemy[164].name,Манеба [щупальце 7],
Enemy[165].name,,
Enemy[166].name,,
Enemy[167].name,jj,
Enemy[168].name,,
Enemy[169].name,,
Enemy[170].name,Энки [торс],
Enemy[171].name,Энки [голова],
Enemy[172].name,Энки [правая рука],
Enemy[173].name,Энки [левая рука],
Enemy[174].name,Кахара [торс],
Enemy[175].name,Кахара [голова],
Enemy[176].name,Кахара [левая рука],
Enemy[177].name,Кахара [правая рука],
Enemy[178].name,Кахара [левая нога],
Enemy[179].name,Кахара [правая нога],
Enemy[180].name,Энки [правая рука],
Enemy[181].name,Энки [левая рука],
Enemy[182].name,,
Enemy[183].name,Вывернутый [торс],
Enemy[184].name,Вывернутый [голова],
Enemy[185].name,Вывернутый [левая рука],
Enemy[186].name,Вывернутый [правая рука],
Enemy[187].name,Измученный [торс],
Enemy[188].name,Измученный [торс],
Enemy[189].name,Измученный [голова],
Enemy[190].name,Измученный [левая рука],
Enemy[191].name,Измученный [правая рука],
Enemy[192].name,,
Enemy[193].name,Измученный [Первое кольцо],
Enemy[194].name,Измученный [Второе кольцо],
Enemy[195].name,Измученный [Третье кольцо],
Enemy[196].name,,
Enemy[197].name,Измученный [левая рука],
Enemy[198].name,Измученный [правая рука],
Enemy[199].name,Измученный [голова],
Enemy[200].name,,
Enemy[201].name,Деревянная дверь,
Enemy[202].name,Скарабей,
Enemy[203].name,,
Enemy[204].name,пещерный житель [торс],
Enemy[205].name,пещерный житель [голова],
Enemy[206].name,пещерный житель [ритуальное копье],
Enemy[207].name,Повелитель мух [торс],
Enemy[208].name,Повелитель мух [голова],
Enemy[209].name,Повелитель мух [правая рука],
