ID,source,target
Weapon[1].name,Короткий меч,
Weapon[1].description,"Короткий железный меч. Лезвие немного изношено, но сам 
меч легок и быстр в обращении.",
Weapon[1].note,<Critical Multiplier: 20%>,
Weapon[2].name,Тесак,
Weapon[2].description,"Не особенно острый, но небольшие противники могут 
быть напуганы грубыми пятнами засохшей крови.",
Weapon[2].note,,
Weapon[3].name,Булава,
Weapon[3].description,"Ржавая железная булава, тяжелая на вес. Кратковременно
может оглушить противников.",
Weapon[3].note,,
Weapon[4].name,Грубый меч,
Weapon[4].description,"Грубое холодное орудие. Мощный меч, для должного
использования которого требуются обе руки.",
Weapon[4].note,,
Weapon[5].name,Клеймор,
Weapon[5].description,"Тяжелый двуручный меч. Наносит разрушительный урон 
всему живому.",
Weapon[5].note,,
Weapon[6].name,Кинжал,
Weapon[6].description,Простой детский кинжал для практики боя на мечах.,
Weapon[6].note,,
Weapon[7].name,Длинный меч,
Weapon[7].description,"Длинный железный меч. С хорошо сбалансированным 
лезвием.",
Weapon[7].note,,
Weapon[8].name,Восточный клинок,
Weapon[8].description,"Изящный меч с Дальнего Востока. Очень острый, но 
хрупкий. Его форма создана для критических ударов.",
Weapon[8].note,,
Weapon[9].name,,
Weapon[9].description,,
Weapon[9].note,,
Weapon[10].name,Копье,
Weapon[10].description,"Стандартное копье. Для использования требуется 
две руки.",
Weapon[10].note,,
Weapon[11].name,Короткий лук,
Weapon[11].description,"Короткий компактный лук. Если у вас есть железные 
стрелы, вы можете стрелять нажав [SHIFT].",
Weapon[11].note,,
Weapon[12].name,,
Weapon[12].description,,
Weapon[12].note,,
Weapon[13].name,Проклятый короткий меч,
Weapon[13].description,Короткий железный меч. Лезвие немного изношено.,
Weapon[13].note,<Critical Multiplier: 20%>,
Weapon[14].name,Проклятый тесак,
Weapon[14].description,"""Не особенно острый, но небольшие противники могут 
быть напуганы грубыми пятнами засохшей крови"".",
Weapon[14].note,,
Weapon[15].name,Проклятая булава,
Weapon[15].description,"Ржавая железная булава, тяжелая на вес. Кратковременно
может оглушить противников.",
Weapon[15].note,,
Weapon[16].name,Сергальское копье,
Weapon[16].description,"Тяжелое метательное копье, используемое сергальскими
племенами в северных районах западного края.",
Weapon[16].note,,
Weapon[17].name,Проклятый клеймор,
Weapon[17].description,"Тяжелый двуручный меч. Наносит разрушительный урон 
всему живому.",
Weapon[17].note,,
Weapon[18].name,Проклятый кинжал,
Weapon[18].description,Простой детский кинжал для практики боя на мечах.,
Weapon[18].note,,
Weapon[19].name,Проклятый длинный меч,
Weapon[19].description,"Длинный железный меч. С хорошо сбалансированным 
лезвием.",
Weapon[19].note,,
Weapon[20].name,Миазма,
Weapon[20].description,"Меч из потустороннего мира, источающий ядовитые газы.
Говорят, что меч содержит в себе силу шести человек.",
Weapon[20].note,,
Weapon[21].name,,
Weapon[21].description,,
Weapon[21].note,,
Weapon[22].name,Проклятое копье,
Weapon[22].description,"Стандартное копье. Для использования требуется 
две руки.",
Weapon[22].note,,
Weapon[23].name,Проклятый короткий лук,
Weapon[23].description,"Короткий компактный лук. Если у вас есть железные 
стрелы, вы можете стрелять нажав [SHIFT].",
Weapon[23].note,,
Weapon[24].name,Рука скелета,
Weapon[24].description,"Отрезанная руки скелета. Выглядит достаточно острой и
может быть использована как оружие.",
Weapon[24].note,<Critical Multiplier: 20%>,
Weapon[25].name,,
Weapon[25].description,,
Weapon[25].note,,
Weapon[26].name,Проклятый тесак,
Weapon[26].description,"Не особенно острая, но небольшие противники могут быть
напуганы грубыми пятнами засохшей крови.",
Weapon[26].note,,
Weapon[27].name,weapon1,
Weapon[27].description,,
Weapon[27].note,,
Weapon[28].name,weapon2_girl,
Weapon[28].description,,
Weapon[28].note,,
Weapon[29].name,,
Weapon[29].description,,
Weapon[29].note,,
Weapon[30].name,Пила-топор,
Weapon[30].description,,
Weapon[30].note,,
Weapon[31].name,,
Weapon[31].description,,
Weapon[31].note,,
Weapon[32].name,Акульи зубы,
Weapon[32].description,"Самодельная, грубо сделанная пила. Острые зазубрины 
лезвия отлично кромсают податливую плоть.",
Weapon[32].note,,
Weapon[33].name,Поклятые Зубы Акулы,
Weapon[33].description,"Самодельная, грубо сделанная пила. Острые зазубрины 
лезвия отлично кромсают податливую плоть.",
Weapon[33].note,,
Weapon[34].name,Ножницы для костей,
Weapon[34].description,"Ржавые ножницы, довольно неудобны в использовании, но
наносят огромный урон. Требуется две руки.",
Weapon[34].note,,
Weapon[35].name,Проклятые ножницы,
Weapon[35].description,"Ржавые ножницы, довольно неудобны в использовании, но
наносят огромный урон. Требуется две руки.",
Weapon[35].note,,
Weapon[36].name,Боевая коса,
Weapon[36].description,"Большое копье с широким изогнутым лезвием. 
Идеально против нескольких целей. Требуется две руки.",
Weapon[36].note,<skill_id:281>,
Weapon[37].name,Проклятая Боевая коса,
Weapon[37].description,"Большое копье с широким изогнутым лезвием. 
Идеально против нескольких целей. Требуется две руки.",
Weapon[37].note,<skill_id:293>,
Weapon[38].name,Моргенштерн,
